accession,gene_name,protein_name,length,family,domains,n_domains,idr_percentage,idr_total_length,n_idr_regions,ps_score,ps_category,charge_density,aromatic_density,species,species_key,complexity,LLPhyScore_mean,LLPhyScore_median,LLPhyScore_max,disorder_long_mean,pi_pi_mean,electrostatic_mean,protein_water_mean,llphy_category
A2A288,ZC3H12D C6orf95 MCPIP4 TFL,Probable ribonuclease ZC3H12D (EC 3.1.-.-) (MCP-induced protein 4) (Transformed follicular lymphoma) (Zinc finger CCCH domain-containing protein 12D) (p34),527,Other,,0,72.11,317,4,0.384,Medium,25.617,7.59,Homo sapiens,human,high,-286.0,53.75337754851388,0.2243172331702297,-49.0,-103.0,-25.0,68.0,Low
O00267,SUPT5H SPT5 SPT5H,Transcription elongation factor SPT5 (hSPT5) (DRB sensitivity-inducing factor 160 kDa subunit) (DSIF p160) (DRB sensitivity-inducing factor large subunit) (DSIF large subunit) (Tat-cotransactivator 1 protein) (Tat-CT1 protein),1087,Other,,0,61.91,580,11,0.343,Medium,27.599,7.36,Homo sapiens,human,high,200.0,98.15033161385408,1.126384960112888,-39.0,-92.0,189.0,97.0,High
O00410,IPO5 KPNB3 RANBP5,Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5),1097,Other,,0,31.72,261,14,0.205,Low,22.881,7.475,Homo sapiens,human,high,-1357.0,3.3333333333333335,-1.7635727576848876,-263.0,-232.0,-102.0,-86.0,Low
A5YKK6,CNOT1 CDC39 KIAA1007 NOT1 AD-005,CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1),2376,Other,,0,35.65,626,26,0.216,Low,19.697,7.87,Homo sapiens,human,high,-2933.0,0.51584377302874,-4.688796497729393,-474.0,-672.0,-281.0,-114.0,Low
O14979,HNRNPDL HNRPDL JKTBP,Heterogeneous nuclear ribonucleoprotein D-like (hnRNP D-like) (hnRNP DL) (AU-rich element RNA-binding factor) (JKT41-binding protein) (Protein laAUF1),420,hnRNP,RRM,1,77.62,294,6,0.405,Medium,24.762,10.0,Homo sapiens,human,high,158.0,97.74993859002704,1.0484284898832756,-39.0,-29.0,51.0,87.0,High
O15116,LSM1 CASM,U6 snRNA-associated Sm-like protein LSm1 (Cancer-associated Sm-like) (Small nuclear ribonuclear CaSm),133,Other,,0,40.6,48,1,0.257,Low,31.579,4.511,Homo sapiens,human,high,-167.0,70.48636698599853,0.4451938988207983,-42.0,-57.0,-13.0,-18.0,Low
O14543,SOCS3 CIS3 SSI3,Suppressor of cytokine signaling 3 (SOCS-3) (Cytokine-inducible SH2 protein 3) (CIS-3) (STAT-induced STAT inhibitor 3) (SSI-3),225,Other,,0,61.33,96,4,0.323,Medium,18.667,8.444,Homo sapiens,human,high,-98.0,81.56718251043971,0.5732652427694473,-8.0,-80.0,23.0,28.0,Low
O14776,TCERG1 CA150 TAF2S,Transcription elongation regulator 1 (TATA box-binding protein-associated factor 2S) (Transcription factor CA150),1098,Other,,0,80.87,861,14,0.422,Medium,29.69,5.829,Homo sapiens,human,high,-504.0,30.061409972979614,-0.1803139694501396,-105.0,-243.0,12.0,62.0,Low
O15213,WDR46 BING4 C6orf11 FP221,WD repeat-containing protein 46 (WD repeat-containing protein BING4),610,Other,,0,63.28,349,7,0.345,Medium,27.541,6.066,Homo sapiens,human,high,-399.0,39.81822647998035,0.0145772061238914,-125.0,-132.0,-24.0,-5.0,Low
O15234,CASC3 MLN51,Protein CASC3 (Cancer susceptibility candidate gene 3 protein) (Metastatic lymph node gene 51 protein) (MLN 51) (Protein barentsz) (Btz),703,Other,,0,95.87,672,5,0.478,Medium,25.889,5.263,Homo sapiens,human,high,456.0,99.2901007123557,1.6015482072267162,74.0,-34.0,121.0,178.0,High
O00541,PES1,Pescadillo homolog,588,Other,,0,54.93,296,9,0.329,Medium,33.844,9.014,Homo sapiens,human,high,-444.0,35.06263817243921,-0.0689475834078361,-94.0,-151.0,-31.0,-27.0,Low
O00584,RNASET2 RNASE6PL,Ribonuclease T2 (EC 4.6.1.19) (Ribonuclease 6),256,Other,,0,44.53,71,2,0.272,Low,26.172,8.984,Homo sapiens,human,high,-264.0,56.65438467207075,0.2651515747190743,-22.0,-65.0,-41.0,-24.0,Low
O14717,TRDMT1 DNMT2,tRNA (cytosine(38)-C(5))-methyltransferase (EC 2.1.1.204) (DNA (cytosine-5)-methyltransferase-like protein 2) (Dnmt2) (DNA methyltransferase homolog HsaIIP) (DNA MTase homolog HsaIIP) (M.HsaIIP) (PuMet),391,Other,SAM,1,26.09,55,3,0.188,Low,23.018,8.696,Homo sapiens,human,high,-394.0,40.41758781626137,0.0238577382940834,-47.0,-150.0,-4.0,-32.0,Low
O00566,MPHOSPH10 MPP10,U3 small nucleolar ribonucleoprotein protein MPP10 (M phase phosphoprotein 10),681,Other,,0,76.95,494,6,0.428,Medium,41.703,5.433,Homo sapiens,human,high,-221.0,62.699582412183744,0.3449641513827252,-67.0,-147.0,32.0,-47.0,Low
O00567,NOP56 NOL5A,Nucleolar protein 56 (Nucleolar protein 5A),594,Other,,0,58.59,274,7,0.325,Medium,29.461,5.556,Homo sapiens,human,high,-471.0,32.60132645541636,-0.1190624571268727,-99.0,-143.0,-2.0,-39.0,Low
O15047,SETD1A KIAA0339 KMT2F SET1 SET1A,Histone-lysine N-methyltransferase SETD1A (EC 2.1.1.364) (Lysine N-methyltransferase 2F) (SET domain-containing protein 1A) (hSET1A) (Set1/Ash2 histone methyltransferase complex subunit SET1),1707,RRM-containing,RRM,1,77.15,1265,14,0.403,Medium,26.772,6.034,Homo sapiens,human,high,-29.0,90.8081552444117,0.7013365867180963,-14.0,-310.0,266.0,322.0,Low
O00442,RTCA RPC RPC1 RTC1 RTCD1,RNA 3'-terminal phosphate cyclase (RNA cyclase) (RNA-3'-phosphate cyclase) (EC 6.5.1.4) (RNA terminal phosphate cyclase domain-containing protein 1) (RTC domain-containing protein 1),366,Other,,0,44.81,124,6,0.253,Low,21.311,5.464,Homo sapiens,human,high,-354.0,45.06755097027758,0.098101995655619,-107.0,-73.0,-21.0,-10.0,Low
O00571,DDX3X DBX DDX3,"ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)",662,Helicase,Helicase,1,60.42,327,7,0.336,Medium,26.586,9.366,Homo sapiens,human,high,13.0,93.80250552689758,0.7792930569477088,-65.0,-44.0,58.0,74.0,High
O14746,TERT EST2 TCS1 TRT,Telomerase reverse transcriptase (EC 2.7.7.49) (HEST2) (Telomerase catalytic subunit) (Telomerase-associated protein 2) (TP2),1132,Other,,0,47.35,448,16,0.271,Low,21.555,8.216,Homo sapiens,human,high,-1722.0,1.7440432326209778,-2.4410516061089007,-295.0,-421.0,-117.0,-86.0,Low
O14980,XPO1 CRM1,Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog),1071,Other,,0,15.03,75,4,0.137,Low,21.289,9.15,Homo sapiens,human,high,-1520.0,2.4293785310734464,-2.0661181064331458,-256.0,-322.0,-85.0,-161.0,Low
O15042,U2SURP KIAA0332 SR140,U2 snRNP-associated SURP motif-containing protein (140 kDa Ser/Arg-rich domain protein) (U2-associated protein SR140),1029,RRM-containing,RRM,1,73.08,719,8,0.404,Medium,35.763,6.22,Homo sapiens,human,high,-311.0,50.36354704003931,0.1779145723192699,-13.0,-254.0,50.0,-34.0,Low
O14647,CHD2,Chromodomain-helicase-DNA-binding protein 2 (CHD-2) (EC 3.6.4.-) (ATP-dependent helicase CHD2),1828,Helicase,Helicase,1,70.19,1188,17,0.389,Medium,34.847,6.838,Homo sapiens,human,high,-717.0,15.298452468680916,-0.575664639900317,-97.0,-409.0,28.0,-73.0,Low
O15056,SYNJ2 KIAA0348,"Synaptojanin-2 (EC 3.1.3.36) (Synaptic inositol 1,4,5-trisphosphate 5-phosphatase 2)",1496,RRM-containing,RRM,1,58.96,721,20,0.323,Medium,24.398,7.687,Homo sapiens,human,high,-891.0,9.13780397936625,-0.8986271594229971,-181.0,-348.0,0.0,81.0,Low
O15226,NKRF ITBA4 NRF,NF-kappa-B-repressing factor (NFkB-repressing factor) (NRF) (Protein ITBA4),690,Other,,0,64.2,412,12,0.347,Medium,26.667,7.391,Homo sapiens,human,high,-240.0,60.01228199459593,0.3096981291359957,-71.0,-120.0,36.0,10.0,Low
O15446,POLR1G ASE1 CAST CD3EAP PAF49,DNA-directed RNA polymerase I subunit RPA34 (A34.5) (Antisense to ERCC-1 protein) (ASE-1) (CD3-epsilon-associated protein) (CD3E-associated protein) (DNA-directed RNA polymerase I subunit G) (RNA polymerase I-associated factor PAF49),510,Other,,0,97.84,499,3,0.486,Medium,28.824,2.157,Homo sapiens,human,high,242.0,98.4328174895603,1.2043414303425004,42.0,-90.0,38.0,76.0,High
O43143,DHX15 DBP1 DDX15,ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15) (Splicing factor Prp43) (hPrp43),795,Helicase,Helicase,1,38.36,250,8,0.245,Low,27.296,7.547,Homo sapiens,human,high,-857.0,9.98280520756571,-0.8355195406656918,-191.0,-211.0,-48.0,-59.0,Low
O43172,PRPF4 PRP4,U4/U6 small nuclear ribonucleoprotein Prp4 (PRP4 homolog) (hPrp4) (U4/U6 snRNP 60 kDa protein) (WD splicing factor Prp4),522,Other,,0,54.41,246,7,0.305,Medium,25.862,7.663,Homo sapiens,human,high,-451.0,34.45590763940064,-0.0819403284461048,-135.0,-107.0,-47.0,-24.0,Low
O43310,CTIF KIAA0427,CBP80/20-dependent translation initiation factor,598,Other,,0,63.38,342,7,0.342,Medium,27.425,5.518,Homo sapiens,human,high,-200.0,65.70867108818473,0.3839423864975314,-10.0,-132.0,24.0,15.0,Low
O43395,PRPF3 HPRP3 PRP3,U4/U6 small nuclear ribonucleoprotein Prp3 (Pre-mRNA-splicing factor 3) (hPrp3) (U4/U6 snRNP 90 kDa protein),683,Other,,0,74.82,465,8,0.4,Medium,33.089,4.832,Homo sapiens,human,high,-490.0,31.056251535249327,-0.1543284793736021,-108.0,-174.0,-20.0,-49.0,Low
O15455,TLR3,Toll-like receptor 3 (CD antigen CD283),904,Other,,0,11.06,38,2,0.117,Low,19.137,9.956,Homo sapiens,human,high,-1107.0,5.517071972488332,-1.2995461491752898,-59.0,-353.0,-87.0,-140.0,Low
O15504,NUP42 CG1 NUPL2,Nucleoporin NUP42 (NLP-1) (NUP42 homolog) (Nucleoporin hCG1) (Nucleoporin-42) (Nucleoporin-like protein 2),423,Other,,0,74.0,290,3,0.37,Medium,16.312,10.402,Homo sapiens,human,high,363.0,99.0346352247605,1.4289303088611458,43.0,15.0,86.0,127.0,High
O43148,RNMT KIAA0398,mRNA cap guanine-N(7) methyltransferase (EC 2.1.1.56) (RG7MT1) (mRNA (guanine-N(7))-methyltransferase) (mRNA cap methyltransferase) (hCMT1) (hMet) (hcm1p),476,Other,,0,56.51,218,5,0.333,Medium,33.193,9.454,Homo sapiens,human,high,-221.0,62.699582412183744,0.3449641513827252,-48.0,-109.0,5.0,-28.0,Low
O43159,RRP8 KIAA0409 NML hucep-1,Ribosomal RNA-processing protein 8 (EC 2.1.1.-) (Cerebral protein 1) (Nucleomethylin),456,ELAV/Hu,,0,74.34,321,3,0.392,Medium,28.947,5.702,Homo sapiens,human,high,-207.0,64.67943994104643,0.3709496414592626,-49.0,-80.0,-9.0,-2.0,Low
O15372,EIF3H EIF3S3,Eukaryotic translation initiation factor 3 subunit H (eIF3h) (Eukaryotic translation initiation factor 3 subunit 3) (eIF-3-gamma) (eIF3 p40 subunit),352,Other,,0,42.33,132,5,0.25,Low,23.58,7.67,Homo sapiens,human,high,-228.0,61.61631048882339,0.3319714063444564,-34.0,-73.0,16.0,-19.0,Low
O15381,NVL NVL2,Nuclear valosin-containing protein-like (NVLp) (Nuclear VCP-like protein),856,Other,,0,59.81,375,11,0.33,Medium,29.089,4.556,Homo sapiens,human,high,-755.0,13.284205354949645,-0.6461966843937759,-184.0,-207.0,-51.0,-28.0,Low
O43290,SART1,U4/U6.U5 tri-snRNP-associated protein 1 (SNU66 homolog) (hSnu66) (Squamous cell carcinoma antigen recognized by T-cells 1) (SART-1) (hSART-1) (U4/U6.U5 tri-snRNP-associated 110 kDa protein) (allergen Hom s 1),800,Other,,0,89.38,689,9,0.469,Medium,38.5,3.875,Homo sapiens,human,high,-306.0,51.00957995578482,0.1871951044894619,-105.0,-196.0,-36.0,21.0,Low
O43390,HNRNPR HNRPR,Heterogeneous nuclear ribonucleoprotein R (hnRNP R),633,hnRNP,RRM,1,66.51,348,8,0.371,Medium,28.91,9.953,Homo sapiens,human,high,240.0,98.42053549496438,1.2006292174744235,-31.0,7.0,72.0,113.0,High
O15347,HMGB3 HMG2A HMG4,High mobility group protein B3 (High mobility group protein 2a) (HMG-2a) (High mobility group protein 4) (HMG-4),200,Other,,0,94.0,183,4,0.518,Medium,45.5,9.0,Homo sapiens,human,high,90.0,96.51191353475804,0.9222132523686648,10.0,-17.0,14.0,11.0,High
O15427,SLC16A3 MCT3 MCT4,Monocarboxylate transporter 4 (MCT 4) (Solute carrier family 16 member 3),465,Other,,0,23.66,94,4,0.164,Low,13.978,11.398,Homo sapiens,human,high,-665.0,18.707934168508967,-0.4791471053303207,-154.0,-110.0,-51.0,-24.0,Low
O43426,SYNJ1 KIAA0910,"Synaptojanin-1 (EC 3.1.3.36) (Synaptic inositol 1,4,5-trisphosphate 5-phosphatase 1)",1573,RRM-containing,RRM,1,57.91,796,19,0.314,Medium,21.933,7.756,Homo sapiens,human,high,-630.0,21.08818472119873,-0.414183380138977,-101.0,-377.0,100.0,125.0,Low
O15371,EIF3D EIF3S7,Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7) (eIF-3-zeta) (eIF3 p66),548,Other,,0,55.29,263,7,0.325,Medium,30.839,10.219,Homo sapiens,human,high,-180.0,68.65143699336772,0.4210645151782992,-65.0,-102.0,66.0,-5.0,Low
O15523,DDX3Y DBY,"ATP-dependent RNA helicase DDX3Y (EC 3.6.4.13) (DEAD box protein 3, Y-chromosomal)",660,Helicase,Helicase,1,58.94,327,7,0.331,Medium,26.667,9.242,Homo sapiens,human,high,-18.0,91.80790960451978,0.7217537574925186,-57.0,-67.0,51.0,61.0,Low
O43399,TPD52L2,Tumor protein D54 (hD54) (Tumor protein D52-like 2),206,Other,,0,91.26,159,4,0.451,Medium,28.641,3.398,Homo sapiens,human,high,-100.0,81.23311225743062,0.5695530299013706,-28.0,-50.0,-7.0,6.0,Low
O43251,RBFOX2 FOX2 HRNBP2 RBM9 RTA,RNA binding protein fox-1 homolog 2 (Fox-1 homolog B) (Hexaribonucleotide-binding protein 2) (RNA-binding motif protein 9) (RNA-binding protein 9) (Repressor of tamoxifen transcriptional activity),390,RBFOX,RRM,1,69.74,262,6,0.353,Medium,15.128,10.769,Homo sapiens,human,high,11.0,93.69442397445346,0.775580844079632,-75.0,-10.0,46.0,106.0,High
O43719,HTATSF1,17S U2 SnRNP complex component HTATSF1 (HIV Tat-specific factor 1) (Tat-SF1),755,RRM-containing,RRM,1,82.38,600,6,0.46,Medium,43.709,6.887,Homo sapiens,human,high,355.0,99.01007123556866,1.4140814573888387,-17.0,-22.0,74.0,83.0,High
O43818,RRP9 RNU3IP2 U355K,U3 small nucleolar RNA-interacting protein 2 (RRP9 homolog) (U3 small nucleolar ribonucleoprotein-associated 55 kDa protein) (U3 snoRNP-associated 55 kDa protein) (U3-55K),475,Other,,0,63.37,256,6,0.34,Medium,26.947,5.474,Homo sapiens,human,high,-359.0,44.546794399410466,0.0888214634854271,-125.0,-114.0,-11.0,12.0,Low
O43823,AKAP8 AKAP95,A-kinase anchor protein 8 (AKAP-8) (A-kinase anchor protein 95 kDa) (AKAP 95),692,Other,,0,86.13,587,10,0.448,Medium,30.491,7.803,Homo sapiens,human,high,301.0,98.76197494473104,1.3138517099507656,-33.0,54.0,64.0,155.0,High
O43865,AHCYL1 DCAL IRBIT XPVKONA,S-adenosylhomocysteine hydrolase-like protein 1 (DC-expressed AHCY-like molecule) (IP(3)Rs binding protein released with IP(3)) (IRBIT) (Putative adenosylhomocysteinase 2) (S-adenosyl-L-homocysteine hydrolase 2) (AdoHcyase 2),530,Other,,0,37.17,157,2,0.231,Low,24.151,7.736,Homo sapiens,human,high,-425.0,37.03267010562516,-0.0336815611611067,-144.0,-98.0,0.0,-23.0,Low
O60381,HBP1,HMG box-containing protein 1 (HMG box transcription factor 1) (High mobility group box transcription factor 1),514,Other,,0,59.34,258,5,0.322,Medium,23.152,8.755,Homo sapiens,human,high,48.0,95.42372881355934,0.8442567821390524,2.0,-64.0,78.0,40.0,High
O43809,NUDT21 CFIM25 CPSF25 CPSF5,Cleavage and polyadenylation specificity factor subunit 5 (Cleavage and polyadenylation specificity factor 25 kDa subunit) (CPSF 25 kDa subunit) (Cleavage factor Im complex 25 kDa subunit) (CFIm25) (Nucleoside diphosphate-linked moiety X motif 21) (Nudix motif 21) (Nudix hydrolase 21) (Pre-mRNA cleavage factor Im 68 kDa subunit),227,Other,,0,32.16,60,3,0.22,Low,22.467,11.454,Homo sapiens,human,high,-230.0,61.35101940555147,0.3282591934763796,-20.0,-88.0,-5.0,-19.0,Low
O43896,KIF1C KIAA0706,Kinesin-like protein KIF1C,1103,Other,,0,74.43,752,16,0.39,Medium,27.743,5.44,Homo sapiens,human,high,-567.0,25.4753131908622,-0.2972486747945583,-109.0,-242.0,-2.0,66.0,Low
O60216,RAD21 HR21 KIAA0078 NXP1 SCC1,Double-strand-break repair protein rad21 homolog (hHR21) (Nuclear matrix protein 1) (NXP-1) (SCC1 homolog) [Cleaved into: 64-kDa C-terminal product (64-kDa carboxy-terminal product) (65-kDa carboxy-terminal product)],631,Other,,0,65.93,353,7,0.364,Medium,31.854,5.547,Homo sapiens,human,high,-205.0,64.97666421026776,0.3746618543273394,-33.0,-118.0,23.0,7.0,Low
O60231,DHX16 DBP2 DDX16 KIAA0577 PRP2,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 (EC 3.6.4.13) (ATP-dependent RNA helicase #3) (DEAH-box protein 16),1041,Helicase,Helicase,1,56.1,485,9,0.325,Medium,31.412,7.493,Homo sapiens,human,high,-1018.0,6.752640628838124,-1.134352676545873,-261.0,-270.0,-63.0,-40.0,Low
O43592,XPOT,Exportin-T (Exportin(tRNA)) (tRNA exportin),962,Other,,0,25.99,165,9,0.184,Low,22.349,9.356,Homo sapiens,human,high,-1395.0,3.0213706705969052,-1.8341048021783464,-224.0,-330.0,-103.0,-110.0,Low
O43670,ZNF207 BUGZ,BUB3-interacting and GLEBS motif-containing protein ZNF207 (BuGZ) (hBuGZ) (Zinc finger protein 207),478,Other,,0,84.1,381,3,0.408,Medium,15.272,4.393,Homo sapiens,human,high,334.0,98.92164087447804,1.3751032222740325,55.0,-8.0,96.0,133.0,High
O60341,KDM1A AOF2 KDM1 KIAA0601 LSD1,Lysine-specific histone demethylase 1A (EC 1.14.99.66) (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2) ([histone H3]-dimethyl-L-lysine(4) FAD-dependent demethylase 1A),852,Other,,0,57.75,454,12,0.313,Medium,23.005,6.69,Homo sapiens,human,high,-480.0,31.871775976418572,-0.1357674150332182,-155.0,-160.0,6.0,39.0,Low
O43707,ACTN4,Alpha-actinin-4 (Non-muscle alpha-actinin 4),911,Other,,0,57.74,424,16,0.323,Medium,28.43,7.794,Homo sapiens,human,high,-987.0,7.236551215917466,-1.0768133770906827,-233.0,-144.0,-114.0,-36.0,Low
O60306,AQR KIAA0560,RNA helicase aquarius (EC 3.6.4.13) (Intron-binding protein of 160 kDa) (IBP160),1485,Other,,0,29.76,314,12,0.207,Low,24.108,9.832,Homo sapiens,human,high,-1655.0,1.987226725620241,-2.3166924750283284,-286.0,-448.0,-32.0,-170.0,Low
O60508,CDC40 EHB3 PRP17 PRPF17,Pre-mRNA-processing factor 17 (Cell division cycle 40 homolog) (EH-binding protein 3) (Ehb3) (PRP17 homolog) (hPRP17),579,Other,,0,43.52,191,3,0.268,Low,26.425,10.017,Homo sapiens,human,high,-323.0,49.00024563989192,0.1556412951108092,-108.0,-69.0,25.0,-10.0,Low
O43474,KLF4 EZF GKLF,Krueppel-like factor 4 (Epithelial zinc finger protein EZF) (Gut-enriched krueppel-like factor),513,Other,,0,87.72,424,8,0.428,Medium,18.129,6.628,Homo sapiens,human,high,36.0,94.97666421026776,0.8219835049305918,28.0,-58.0,41.0,101.0,High
O60506,SYNCRIP HNRPQ NSAP1,"Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)",623,hnRNP,RRM,1,69.66,386,11,0.381,Medium,28.25,10.112,Homo sapiens,human,high,171.0,97.90223532301648,1.0725578735257746,-71.0,20.0,45.0,113.0,High
O60524,NEMF SDCCAG1,Ribosome quality control complex subunit NEMF (Antigen NY-CO-1) (Nuclear export mediator factor) (Serologically defined colon cancer antigen 1),1076,Other,,0,60.32,581,15,0.343,Medium,32.714,6.599,Homo sapiens,human,high,-623.0,21.51805453205601,-0.4011906351007082,-124.0,-246.0,1.0,-71.0,Low
O43432,EIF4G3,Eukaryotic translation initiation factor 4 gamma 3 (eIF-4-gamma 3) (eIF-4G 3) (eIF4G 3) (eIF-4-gamma II) (eIF4GII),1585,Other,,0,69.27,1019,19,0.368,Medium,27.886,5.237,Homo sapiens,human,high,-822.0,10.857283222795385,-0.7705558154743481,-140.0,-404.0,33.0,31.0,Low
