accession	species	length	disorder_content	n_disordered_residues	n_disordered_regions	longest_idr	idr_source
O94874	Homo_sapiens	794	0.117	93	2	67	prediction-disorder-mobidb_lite
Q8IXZ2	Homo_sapiens	948	0.531	503	6	158	prediction-disorder-mobidb_lite
P07384	Homo_sapiens	714	0.02	14	6	5	prediction-disorder-th_50
P40925	Homo_sapiens	334	0.027	9	3	4	prediction-disorder-th_50
Q8IY57	Homo_sapiens	180	0.817	147	3	74	prediction-disorder-mobidb_lite
P43243	Homo_sapiens	847	0.365	309	4	199	prediction-disorder-mobidb_lite
O00116	Homo_sapiens	658	0.099	65	2	41	prediction-disorder-mobidb_lite
Q96NG8	Homo_sapiens	517	0.062	32	6	11	prediction-disorder-th_50
O43623	Homo_sapiens	268	0.142	38	1	38	prediction-disorder-mobidb_lite
Q9UGI0	Homo_sapiens	708	0.088	62	2	36	prediction-disorder-mobidb_lite
Q9NTW7	Homo_sapiens	645	0.11	71	2	46	prediction-disorder-mobidb_lite
P49959	Homo_sapiens	708	0.213	151	3	59	prediction-disorder-mobidb_lite
O60306	Homo_sapiens	1485	0.045	67	1	67	prediction-disorder-mobidb_lite
P31327	Homo_sapiens	1500	0.051	76	2	62	curated-disorder-merge
Q9BY42	Homo_sapiens	306	0.275	84	1	84	prediction-disorder-mobidb_lite
P28331	Homo_sapiens	727	0.015	11	3	6	prediction-disorder-th_50
Q8TDY2	Homo_sapiens	1594	0.023	36	1	36	prediction-disorder-mobidb_lite
Q9BS26	Homo_sapiens	406	0.069	28	1	28	prediction-disorder-mobidb_lite
P48507	Homo_sapiens	274	0.04	11	2	6	prediction-disorder-th_50
Q9NZN4	Homo_sapiens	543	0.039	21	1	21	prediction-disorder-mobidb_lite
Q15785	Homo_sapiens	309	0.094	29	1	29	prediction-disorder-mobidb_lite
Q9UGP8	Homo_sapiens	760	0.22	167	2	126	prediction-disorder-mobidb_lite
O60684	Homo_sapiens	536	0.054	29	1	29	prediction-disorder-mobidb_lite
P08670	Homo_sapiens	466	0.069	32	1	32	prediction-disorder-mobidb_lite
O00584	Homo_sapiens	256	0.078	20	1	20	curated-disorder-merge
Q9NYF8	Homo_sapiens	920	0.789	726	5	437	prediction-disorder-mobidb_lite
Q8WVM0	Homo_sapiens	346	0.084	29	3	20	prediction-disorder-th_50
O15347	Homo_sapiens	200	0.335	67	2	40	prediction-disorder-mobidb_lite
Q12769	Homo_sapiens	1436	0.026	38	5	18	prediction-disorder-th_50
P49591	Homo_sapiens	514	0.082	42	1	42	prediction-disorder-mobidb_lite
Q9H6Z4	Homo_sapiens	567	0.631	358	3	263	prediction-disorder-mobidb_lite
P29374	Homo_sapiens	1257	0.428	538	9	119	prediction-disorder-mobidb_lite
Q6NZY4	Homo_sapiens	707	0.334	236	4	110	prediction-disorder-mobidb_lite
Q9UG63	Homo_sapiens	623	0.082	51	1	51	prediction-disorder-mobidb_lite
A0AVT1	Homo_sapiens	1052	0.02	21	1	21	prediction-disorder-mobidb_lite
P18206	Homo_sapiens	1134	0.027	31	1	31	prediction-disorder-mobidb_lite
Q9UIK4	Homo_sapiens	370	0.062	23	1	23	prediction-disorder-mobidb_lite
P30520	Homo_sapiens	456	0.053	24	1	24	prediction-disorder-mobidb_lite
P35251	Homo_sapiens	1148	0.366	420	4	156	prediction-disorder-mobidb_lite
Q9UNX3	Homo_sapiens	145	0.31	45	2	24	prediction-disorder-mobidb_lite
Q08J23	Homo_sapiens	767	0.171	131	3	49	prediction-disorder-mobidb_lite
Q9BV20	Homo_sapiens	369	0.046	17	5	12	prediction-disorder-th_50
Q8NFC6	Homo_sapiens	3051	0.578	1765	15	707	prediction-disorder-mobidb_lite
Q6P2E9	Homo_sapiens	1401	0.173	243	7	79	prediction-disorder-mobidb_lite
O75962	Homo_sapiens	3097	0.163	505	5	266	prediction-disorder-mobidb_lite
P42285	Homo_sapiens	1042	0.057	59	1	59	prediction-disorder-mobidb_lite
Q9P0K7	Homo_sapiens	980	0.094	92	2	55	prediction-disorder-mobidb_lite
Q9NUL3	Homo_sapiens	570	0.198	113	4	43	prediction-disorder-mobidb_lite
Q9H089	Homo_sapiens	658	0.263	173	3	106	prediction-disorder-mobidb_lite
Q9Y6F1	Homo_sapiens	533	0.111	59	2	30	prediction-disorder-mobidb_lite
P40121	Homo_sapiens	348	0.089	31	5	17	prediction-disorder-th_50
Q9H3H1	Homo_sapiens	467	0.084	39	1	39	prediction-disorder-mobidb_lite
P35221	Homo_sapiens	906	0.034	31	1	31	prediction-disorder-mobidb_lite
P11021	Homo_sapiens	654	0.034	22	1	22	prediction-disorder-mobidb_lite
Q14126	Homo_sapiens	1118	0.046	51	1	51	prediction-disorder-mobidb_lite
Q9NWZ8	Homo_sapiens	242	0.153	37	1	37	prediction-disorder-mobidb_lite
O75665	Homo_sapiens	1012	0.193	195	4	81	prediction-disorder-mobidb_lite
Q9H6S0	Homo_sapiens	1430	0.113	162	2	125	prediction-disorder-mobidb_lite
P30876	Homo_sapiens	1174	0.06	70	15	17	prediction-disorder-th_50
P12270	Homo_sapiens	2363	0.241	570	5	332	prediction-disorder-mobidb_lite
P27816	Homo_sapiens	1152	0.452	521	4	351	prediction-disorder-mobidb_lite
Q9Y3C1	Homo_sapiens	178	0.174	31	1	31	prediction-disorder-mobidb_lite
Q2TB10	Homo_sapiens	664	0.358	238	5	89	prediction-disorder-mobidb_lite
P82664	Homo_sapiens	201	0.08	16	3	11	prediction-disorder-th_50
Q96T23	Homo_sapiens	1441	0.622	897	6	366	prediction-disorder-mobidb_lite
O95319	Homo_sapiens	508	0.14	71	12	13	prediction-disorder-th_50
Q9NZB2	Homo_sapiens	1118	0.235	263	3	160	prediction-disorder-mobidb_lite
Q15032	Homo_sapiens	1099	0.279	307	8	53	prediction-disorder-mobidb_lite
P35250	Homo_sapiens	354	0.082	29	1	29	prediction-disorder-mobidb_lite
Q8WV60	Homo_sapiens	388	0.039	15	3	8	prediction-disorder-th_50
Q9UHB6	Homo_sapiens	759	0.534	405	5	201	prediction-disorder-mobidb_lite
P45984	Homo_sapiens	424	0.134	57	1	57	prediction-disorder-mobidb_lite
O75417	Homo_sapiens	2590	0.042	110	4	33	prediction-disorder-mobidb_lite
Q96J01	Homo_sapiens	351	0.057	20	1	20	prediction-disorder-mobidb_lite
Q9HAU0	Homo_sapiens	1116	0.183	204	4	92	prediction-disorder-mobidb_lite
Q5JTH9	Homo_sapiens	1297	0.194	251	3	167	prediction-disorder-mobidb_lite
Q9UKD2	Homo_sapiens	239	0.105	25	1	25	prediction-disorder-mobidb_lite
Q9Y2W1	Homo_sapiens	955	0.869	830	3	443	prediction-disorder-mobidb_lite
Q4LE39	Homo_sapiens	1312	0.593	778	7	304	prediction-disorder-mobidb_lite
O60333	Homo_sapiens	1816	0.047	85	3	44	prediction-disorder-mobidb_lite
Q8WXH0	Homo_sapiens	6885	0.07	482	8	155	prediction-disorder-mobidb_lite
Q9Y2X3	Homo_sapiens	529	0.229	121	1	121	prediction-disorder-mobidb_lite
Q13616	Homo_sapiens	776	0.137	106	7	28	curated-disorder-merge
Q96F07	Homo_sapiens	1278	0.039	50	13	14	prediction-disorder-th_50
Q9NYJ8	Homo_sapiens	693	0.297	206	4	92	prediction-disorder-mobidb_lite
P19525	Homo_sapiens	551	0.038	21	1	21	prediction-disorder-mobidb_lite
Q9P275	Homo_sapiens	1123	0.543	610	4	411	prediction-disorder-mobidb_lite
Q8TB72	Homo_sapiens	1066	0.178	190	3	99	prediction-disorder-mobidb_lite
Q8N983	Homo_sapiens	215	0.186	40	10	12	prediction-disorder-th_50
Q96KR1	Homo_sapiens	1074	0.143	154	6	35	prediction-disorder-mobidb_lite
Q9HBD1	Homo_sapiens	1191	0.072	86	2	49	prediction-disorder-mobidb_lite
Q99959	Homo_sapiens	881	0.037	33	1	33	prediction-disorder-mobidb_lite
P50395	Homo_sapiens	445	0.036	16	3	8	prediction-disorder-th_50
P61619	Homo_sapiens	476	0.006	3	3	1	prediction-disorder-th_50
O14974	Homo_sapiens	1030	0.607	625	2	339	prediction-disorder-mobidb_lite
O75152	Homo_sapiens	810	0.428	347	6	68	prediction-disorder-mobidb_lite
Q9BVS4	Homo_sapiens	552	0.239	132	15	32	prediction-disorder-th_50
Q9H9P5	Homo_sapiens	680	0.268	182	5	79	prediction-disorder-mobidb_lite
Q9H0J9	Homo_sapiens	701	0.05	35	1	35	prediction-disorder-mobidb_lite
P54886	Homo_sapiens	795	0.028	22	4	12	prediction-disorder-th_50
Q13395	Homo_sapiens	1621	0.036	58	6	16	prediction-disorder-th_50
O75879	Homo_sapiens	557	0.036	20	1	20	prediction-disorder-mobidb_lite
P16989	Homo_sapiens	372	0.737	274	2	192	prediction-disorder-mobidb_lite
Q9H4A3	Homo_sapiens	2382	0.353	842	11	207	prediction-disorder-mobidb_lite
Q8IX12	Homo_sapiens	1150	0.255	293	5	120	prediction-disorder-mobidb_lite
Q9NZT2	Homo_sapiens	677	0.64	433	3	257	prediction-disorder-mobidb_lite
Q96DI7	Homo_sapiens	357	0.112	40	3	20	prediction-disorder-th_50
Q12872	Homo_sapiens	951	0.567	539	7	336	prediction-disorder-mobidb_lite
Q9UJU3	Homo_sapiens	913	0.078	71	15	14	prediction-disorder-th_50
O75390	Homo_sapiens	466	0.017	8	3	6	prediction-disorder-th_50
Q96EL2	Homo_sapiens	167	0.042	7	1	7	prediction-disorder-th_50
Q7Z5K2	Homo_sapiens	1190	0.13	155	3	95	prediction-disorder-mobidb_lite
P28340	Homo_sapiens	1107	0.031	34	1	34	prediction-disorder-mobidb_lite
P23588	Homo_sapiens	611	0.825	504	3	439	prediction-disorder-mobidb_lite
Q07020	Homo_sapiens	188	0.202	38	1	38	prediction-disorder-mobidb_lite
P26368	Homo_sapiens	475	0.189	90	1	90	prediction-disorder-mobidb_lite
Q16775	Homo_sapiens	308	0.107	33	2	29	prediction-disorder-th_50
Q9Y5L0	Homo_sapiens	923	0.14	129	8	25	curated-disorder-merge
Q8IX01	Homo_sapiens	1082	0.235	254	5	86	prediction-disorder-mobidb_lite
P55011	Homo_sapiens	1212	0.12	145	4	46	prediction-disorder-mobidb_lite
Q99439	Homo_sapiens	309	0.087	27	1	27	prediction-disorder-mobidb_lite
Q9UHI6	Homo_sapiens	824	0.197	162	3	104	prediction-disorder-mobidb_lite
Q9Y2G9	Homo_sapiens	1366	0.101	138	4	44	prediction-disorder-mobidb_lite
O14617	Homo_sapiens	1153	0.228	263	2	195	prediction-disorder-mobidb_lite
P08754	Homo_sapiens	354	0.042	15	5	9	prediction-disorder-th_50
O00410	Homo_sapiens	1097	0.032	35	2	21	curated-disorder-merge
P04181	Homo_sapiens	439	0.046	20	2	17	prediction-disorder-th_50
Q9UNX4	Homo_sapiens	943	0.021	20	1	20	prediction-disorder-mobidb_lite
Q16513	Homo_sapiens	984	0.081	80	3	33	prediction-disorder-mobidb_lite
Q9BV38	Homo_sapiens	432	0.042	18	6	5	prediction-disorder-th_50
Q15046	Homo_sapiens	597	0.119	71	1	71	prediction-disorder-mobidb_lite
Q9BUB4	Homo_sapiens	502	0.042	21	1	21	prediction-disorder-mobidb_lite
Q96T58	Homo_sapiens	3664	0.573	2098	20	584	prediction-disorder-mobidb_lite
Q8WU90	Homo_sapiens	426	0.315	134	4	54	prediction-disorder-mobidb_lite
Q9H2G2	Homo_sapiens	1235	0.214	264	5	148	prediction-disorder-mobidb_lite
Q14004	Homo_sapiens	1512	0.532	805	11	471	prediction-disorder-mobidb_lite
P67809	Homo_sapiens	324	0.784	254	2	205	prediction-disorder-mobidb_lite
Q15717	Homo_sapiens	326	0.058	19	1	19	curated-disorder-merge
Q9P265	Homo_sapiens	1576	0.121	190	3	137	prediction-disorder-mobidb_lite
Q8IZT6	Homo_sapiens	3477	0.024	82	3	30	prediction-disorder-mobidb_lite
Q9H9A6	Homo_sapiens	602	0.047	28	4	19	prediction-disorder-th_50
Q7Z4G4	Homo_sapiens	463	0.058	27	5	14	prediction-disorder-th_50
Q9NXG2	Homo_sapiens	353	0.363	128	3	84	prediction-disorder-mobidb_lite
O15523	Homo_sapiens	660	0.256	169	2	121	prediction-disorder-mobidb_lite
P14618	Homo_sapiens	531	0.038	20	4	10	prediction-disorder-th_50
Q7Z478	Homo_sapiens	1369	0.091	125	3	51	prediction-disorder-mobidb_lite
Q5QJE6	Homo_sapiens	756	0.321	243	3	106	prediction-disorder-mobidb_lite
Q12888	Homo_sapiens	1972	0.618	1219	14	250	prediction-disorder-mobidb_lite
Q9Y3B9	Homo_sapiens	282	0.674	190	2	125	prediction-disorder-mobidb_lite
Q14562	Homo_sapiens	1220	0.123	150	2	114	prediction-disorder-mobidb_lite
Q9NSE4	Homo_sapiens	1012	0.042	42	6	19	prediction-disorder-th_50
Q13464	Homo_sapiens	1354	0.026	35	1	35	prediction-disorder-mobidb_lite
Q6AI08	Homo_sapiens	1181	0.093	110	3	56	prediction-disorder-mobidb_lite
Q13057	Homo_sapiens	564	0.062	35	9	9	prediction-disorder-th_50
Q14642	Homo_sapiens	412	0.032	13	4	8	prediction-disorder-th_50
Q92917	Homo_sapiens	476	0.347	165	3	96	prediction-disorder-mobidb_lite
Q9UET6	Homo_sapiens	329	0.128	42	6	19	prediction-disorder-th_50
O95602	Homo_sapiens	1720	0.078	134	1	134	prediction-disorder-mobidb_lite
Q8N5C6	Homo_sapiens	995	0.106	105	2	59	prediction-disorder-mobidb_lite
O00139	Homo_sapiens	706	0.136	96	2	74	prediction-disorder-mobidb_lite
Q14997	Homo_sapiens	1843	0.014	25	1	25	prediction-disorder-mobidb_lite
Q8WUM0	Homo_sapiens	1156	0.034	39	1	39	prediction-disorder-mobidb_lite
Q9H1E3	Homo_sapiens	243	1	243	1	243	prediction-disorder-mobidb_lite
Q96QK1	Homo_sapiens	796	0.087	69	9	14	prediction-disorder-th_50
Q9P1Y6	Homo_sapiens	1649	0.626	1033	10	353	prediction-disorder-mobidb_lite
O95163	Homo_sapiens	1332	0.044	59	1	59	prediction-disorder-mobidb_lite
P35080	Homo_sapiens	140	0.05	7	2	4	prediction-disorder-th_50
Q86US8	Homo_sapiens	1419	0.307	435	5	229	prediction-disorder-mobidb_lite
Q6NYC1	Homo_sapiens	403	0.169	68	1	68	prediction-disorder-mobidb_lite
P08243	Homo_sapiens	561	0.009	5	2	3	prediction-disorder-th_50
P11940	Homo_sapiens	636	0.16	102	7	26	curated-disorder-merge
Q13428	Homo_sapiens	1488	0.94	1399	2	1232	prediction-disorder-mobidb_lite
Q9NS91	Homo_sapiens	495	0.222	110	3	46	prediction-disorder-mobidb_lite
O95819	Homo_sapiens	1239	0.308	381	3	295	prediction-disorder-mobidb_lite
P62899	Homo_sapiens	125	0.232	29	5	15	prediction-disorder-th_50
O75083	Homo_sapiens	606	0.017	10	3	5	prediction-disorder-th_50
O43709	Homo_sapiens	281	0.096	27	1	27	prediction-disorder-mobidb_lite
Q96EP5	Homo_sapiens	407	0.656	267	2	223	prediction-disorder-mobidb_lite
O95983	Homo_sapiens	291	0.131	38	1	38	prediction-disorder-mobidb_lite
Q14527	Homo_sapiens	1009	0.03	30	1	30	prediction-disorder-mobidb_lite
Q14320	Homo_sapiens	339	0.26	88	2	57	prediction-disorder-mobidb_lite
Q10570	Homo_sapiens	1443	0.098	141	4	63	prediction-disorder-mobidb_lite
P12814	Homo_sapiens	892	0.035	31	4	17	prediction-disorder-th_50
P02786	Homo_sapiens	760	0.067	51	10	13	prediction-disorder-th_50
Q9UHB7	Homo_sapiens	1163	0.779	906	4	581	prediction-disorder-mobidb_lite
Q14683	Homo_sapiens	1233	0.054	67	3	25	prediction-disorder-mobidb_lite
Q99714	Homo_sapiens	261	0.153	40	2	21	curated-disorder-merge
O15460	Homo_sapiens	535	0.034	18	2	11	prediction-disorder-th_50
Q96Q11	Homo_sapiens	434	0.145	63	2	51	curated-disorder-merge
P49748	Homo_sapiens	655	0.031	20	1	20	prediction-disorder-mobidb_lite
Q9NXL6	Homo_sapiens	827	0.065	54	1	54	prediction-disorder-mobidb_lite
P33993	Homo_sapiens	719	0.079	57	11	14	prediction-disorder-th_50
Q9NVX2	Homo_sapiens	485	0.031	15	3	8	prediction-disorder-th_50
P31040	Homo_sapiens	664	0.041	27	7	11	prediction-disorder-th_50
Q96AC1	Homo_sapiens	680	0.037	25	1	25	prediction-disorder-mobidb_lite
Q9Y6M1	Homo_sapiens	599	0.053	32	1	32	prediction-disorder-mobidb_lite
P46459	Homo_sapiens	744	0.027	20	6	8	prediction-disorder-th_50
Q7Z460	Homo_sapiens	1538	0.25	385	5	241	prediction-disorder-mobidb_lite
P82930	Homo_sapiens	218	0.179	39	1	39	prediction-disorder-mobidb_lite
Q53F19	Homo_sapiens	620	0.565	350	4	185	prediction-disorder-mobidb_lite
O60285	Homo_sapiens	661	0.348	230	3	129	prediction-disorder-mobidb_lite
P49257	Homo_sapiens	510	0.02	10	1	10	curated-disorder-merge
Q9P035	Homo_sapiens	362	0.047	17	2	12	prediction-disorder-th_50
O43149	Homo_sapiens	2961	0.082	242	4	86	prediction-disorder-mobidb_lite
P06733	Homo_sapiens	434	0.025	11	4	7	prediction-disorder-th_50
O43432	Homo_sapiens	1585	0.283	448	10	148	prediction-disorder-mobidb_lite
Q9NYZ3	Homo_sapiens	739	0.702	519	4	320	prediction-disorder-mobidb_lite
P35610	Homo_sapiens	550	0.071	39	1	39	prediction-disorder-mobidb_lite
Q14966	Homo_sapiens	1978	0.326	644	9	179	prediction-disorder-mobidb_lite
P27448	Homo_sapiens	753	0.386	291	3	231	prediction-disorder-mobidb_lite
Q53EP0	Homo_sapiens	1204	0.055	66	2	35	prediction-disorder-mobidb_lite
O94915	Homo_sapiens	3013	0.06	182	6	60	prediction-disorder-mobidb_lite
Q92545	Homo_sapiens	1883	0.287	541	5	383	prediction-disorder-mobidb_lite
Q16658	Homo_sapiens	493	0.071	35	7	17	prediction-disorder-th_50
O43379	Homo_sapiens	1518	0.148	224	4	94	prediction-disorder-mobidb_lite
P51149	Homo_sapiens	207	0.077	16	3	6	prediction-disorder-th_50
Q15020	Homo_sapiens	963	0.241	232	5	105	prediction-disorder-mobidb_lite
Q15024	Homo_sapiens	291	0.082	24	4	11	prediction-disorder-th_50
Q9H000	Homo_sapiens	416	0.072	30	1	30	prediction-disorder-mobidb_lite
Q14566	Homo_sapiens	821	0.084	69	11	23	prediction-disorder-th_50
Q9Y3B8	Homo_sapiens	237	0.089	21	5	12	prediction-disorder-th_50
Q9Y580	Homo_sapiens	266	0.504	134	2	105	prediction-disorder-mobidb_lite
Q15434	Homo_sapiens	407	0.064	26	1	26	prediction-disorder-mobidb_lite
Q9UIF9	Homo_sapiens	1905	0.253	482	8	145	prediction-disorder-mobidb_lite
Q9H3S7	Homo_sapiens	1636	0.306	500	3	264	prediction-disorder-mobidb_lite
Q96R06	Homo_sapiens	1193	0.081	97	3	48	prediction-disorder-mobidb_lite
Q9BRR8	Homo_sapiens	931	0.433	403	5	273	prediction-disorder-mobidb_lite
Q9NUK0	Homo_sapiens	354	0.059	21	8	8	prediction-disorder-th_50
Q9HCS7	Homo_sapiens	855	0.054	46	1	46	prediction-disorder-mobidb_lite
Q92888	Homo_sapiens	912	0.253	231	3	166	prediction-disorder-mobidb_lite
Q02880	Homo_sapiens	1626	0.223	362	2	331	prediction-disorder-mobidb_lite
Q9HD45	Homo_sapiens	589	0.01	6	2	5	prediction-disorder-th_50
Q12789	Homo_sapiens	2109	0.183	386	8	139	prediction-disorder-mobidb_lite
P09012	Homo_sapiens	282	0.117	33	1	33	prediction-disorder-mobidb_lite
Q9NQT4	Homo_sapiens	235	0.102	24	1	24	prediction-disorder-mobidb_lite
Q13409	Homo_sapiens	638	0.306	195	2	135	prediction-disorder-mobidb_lite
P47756	Homo_sapiens	272	0.103	28	9	6	prediction-disorder-th_50
Q96RQ3	Homo_sapiens	725	0.076	55	11	25	prediction-disorder-th_50
O15056	Homo_sapiens	1496	0.262	392	4	216	prediction-disorder-mobidb_lite
Q9NWB1	Homo_sapiens	397	0.305	121	1	121	prediction-disorder-mobidb_lite
O43847	Homo_sapiens	1151	0.114	131	2	75	prediction-disorder-mobidb_lite
Q9HCJ0	Homo_sapiens	1936	0.636	1232	10	493	prediction-disorder-mobidb_lite
A7E2Y1	Homo_sapiens	1983	0.019	38	1	38	prediction-disorder-mobidb_lite
Q96FV9	Homo_sapiens	657	0.1	66	2	37	prediction-disorder-mobidb_lite
P13010	Homo_sapiens	732	0.126	92	3	52	curated-disorder-merge
Q8N1G1	Homo_sapiens	1221	0.522	637	4	483	prediction-disorder-mobidb_lite
Q9NR31	Homo_sapiens	198	0.01	2	1	2	prediction-disorder-th_50
Q92499	Homo_sapiens	740	0.019	14	1	14	curated-disorder-merge
O43491	Homo_sapiens	1005	0.331	333	3	149	prediction-disorder-mobidb_lite
Q9UNT1	Homo_sapiens	228	0.127	29	1	29	prediction-disorder-mobidb_lite
Q9NXZ2	Homo_sapiens	648	0.125	81	2	60	prediction-disorder-mobidb_lite
Q5UIP0	Homo_sapiens	2472	0.178	441	9	109	prediction-disorder-mobidb_lite
P51531	Homo_sapiens	1590	0.308	489	7	123	prediction-disorder-mobidb_lite
Q6ZRS2	Homo_sapiens	3230	0.49	1584	16	484	prediction-disorder-mobidb_lite
Q15397	Homo_sapiens	648	0.191	124	1	124	prediction-disorder-mobidb_lite
O95628	Homo_sapiens	575	0.304	175	3	117	prediction-disorder-mobidb_lite
P07900	Homo_sapiens	732	0.119	87	2	54	prediction-disorder-mobidb_lite
Q9NVH0	Homo_sapiens	621	0.129	80	2	45	prediction-disorder-mobidb_lite
Q9NW82	Homo_sapiens	654	0.343	224	4	133	prediction-disorder-mobidb_lite
Q7L1Q6	Homo_sapiens	419	0.062	26	1	26	prediction-disorder-mobidb_lite
Q9NWU5	Homo_sapiens	206	0.078	16	5	7	prediction-disorder-th_50
Q8TEQ6	Homo_sapiens	1508	0.097	147	3	76	prediction-disorder-mobidb_lite
O14980	Homo_sapiens	1071	0.366	392	7	242	curated-disorder-merge
Q5VYS8	Homo_sapiens	1495	0.223	333	8	68	prediction-disorder-mobidb_lite
Q8IYT8	Homo_sapiens	1036	0.187	194	5	49	prediction-disorder-mobidb_lite
Q92973	Homo_sapiens	898	0.031	28	1	28	prediction-disorder-mobidb_lite
Q02809	Homo_sapiens	727	0.006	4	2	2	prediction-disorder-th_50
Q9Y2L1	Homo_sapiens	958	0.022	21	1	21	prediction-disorder-mobidb_lite
Q9H7E2	Homo_sapiens	651	0.336	219	4	83	prediction-disorder-mobidb_lite
Q9UHK0	Homo_sapiens	495	0.428	212	3	108	prediction-disorder-mobidb_lite
Q9NTI5	Homo_sapiens	1447	0.229	331	1	331	prediction-disorder-mobidb_lite
Q5VZM2	Homo_sapiens	374	0.078	29	1	29	prediction-disorder-mobidb_lite
P46782	Homo_sapiens	204	0.103	21	4	9	prediction-disorder-th_50
Q96MU7	Homo_sapiens	727	0.675	491	4	338	prediction-disorder-mobidb_lite
Q9UNP9	Homo_sapiens	301	0.103	31	1	31	prediction-disorder-mobidb_lite
O75844	Homo_sapiens	475	0.063	30	5	17	prediction-disorder-th_50
Q8NC60	Homo_sapiens	698	0.155	108	3	55	prediction-disorder-mobidb_lite
Q9Y2W2	Homo_sapiens	641	0.654	419	4	317	prediction-disorder-mobidb_lite
Q13347	Homo_sapiens	325	0.018	6	2	4	prediction-disorder-th_50
