accession	gene_name	species	protein_type	old_family	length	pfam_ids
Q9VKN7	aurB	fly	Kinase	Aurora	329	PF00069:Pkinase
Q9VM90	meng	fly	Kinase	Other	456	PF00069:Pkinase
Q9VP22	Cdk12	fly	Kinase	CDK	1157	PF00069:Pkinase
Q9VPC0	Pitslre	fly	Kinase	Other	952	PF00069:Pkinase
Q9VR59	l(1)G0196	fly	Kinase	Other	1696	PF00328:His_Phos_2;PF18086:PPIP5K2_N
Q9VT57	Cdk8	fly	Kinase	CDK	454	PF00069:Pkinase
Q9VWQ2	S6KL	fly	Kinase	Other	483	PF00069:Pkinase
Q9VXE5	mbt	fly	Kinase	Other	639	PF00786:PBD;PF00069:Pkinase
Q9VXG8	mei-41	fly	Kinase	Other	2517	PF02259:FAT;PF02260:FATC;PF23593:HEAT_ATR;PF25030:M-HEAT_ATR;PF00454:PI3_PI4_kinase;PF08064:UME
Q9VZI2	Ack	fly	Kinase	Other	1073	PF07714:PK_Tyr_Ser-Thr;PF22931:SAM_TNK
Q9W0V1	Pdk1	fly	Kinase	Other	836	PF14593:PH_3;PF00069:Pkinase
Q9W1B0	gek	fly	Kinase	Other	1637	PF00130:C1_1;PF00780:CNH;PF15796:KELK;PF25346:PH_MRCK;PF00069:Pkinase;PF00433:Pkinase_C
Q9W2R3	sktl	fly	Kinase	Other	792	PF01504:PIP5K
Q9W354	Erk7	fly	Kinase	MAPK	916	PF00069:Pkinase
Q9W3Y1	Cdc7	fly	Kinase	Other	700	PF00069:Pkinase
Q9XZT6	dnk	fly	Kinase	Other	250	PF01712:dNK
P16911	Pka-C2	fly	Kinase	Other	354	PF00069:Pkinase
P48610	Argk1	fly	Kinase	Other	356	PF00217:ATP-gua_Ptrans;PF02807:ATP-gua_PtransN
P83099	Pkcdelta	fly	Kinase	PKC	671	PF00130:C1_1;PF00069:Pkinase;PF00433:Pkinase_C
P83102	Dyrk3	fly	Kinase	Other	828	PF00069:Pkinase
P91622	Pdk	fly	Kinase	Other	413	PF10436:BCDHK_Adom3;PF02518:HATPase_c
Q0KHT7	Drak	fly	Kinase	Other	674	PF00069:Pkinase
Q7JYV7	Ak6	fly	Kinase	Other	175	PF13238:AAA_18
Q7PLI7		fly	Kinase	Other	748	PF03607:DCX;PF00069:Pkinase
Q95T10		fly	Kinase	Other	421	PF06702:Fam20C
Q9NFT9	Hexl	fly	Kinase	Other	465	PF00349:Hexokinase_1;PF03727:Hexokinase_2
Q9VC99	Uck	fly	Kinase	Other	260	PF00485:PRK
Q9VJ90		fly	Kinase	Other	665	PF00069:Pkinase
Q9VKY8	Sps2	fly	Kinase	Other	370	PF00586:AIRS;PF02769:AIRS_C
Q9W133	Adck1	fly	Kinase	Other	518	PF03109:ABC1
A1ZA92	Nol9	fly	Kinase	Other	995	PF16575:CLP1_P;PF24419:Cupin_NOL9;PF25467:NOL9_C
A8JQ65		fly	Kinase	Other	1895	PF00130:C1_1;PF00609:DAGK_acc;PF00781:DAGK_cat;PF22944:DGKD_4H;PF00169:PH;PF00536:SAM_1
O18373	Sps1	fly	Kinase	Other	398	PF00586:AIRS;PF02769:AIRS_C
O76206	Rfk	fly	Kinase	Other	153	PF01687:Flavokinase
P83101	gskt	fly	Kinase	Other	501	PF00069:Pkinase
P83104	Takl1	fly	Kinase	Other	393	PF00069:Pkinase
Q9VIT2	Pmvk	fly	Kinase	Other	189	PF04275:P-mevalo_kinase
Q9W2Q7	Ipk1	fly	Kinase	Other	621	PF06090:Ins_P5_2-kin
Q9VQC4	Glyctk	fly	Kinase	Other	487	PF13660:DUF4147;PF05161:MOFRL
A2AAJ9	Obscn	mouse	Kinase	Other	8886	PF00041:fn3;PF07679:I-set;PF00612:IQ;PF00069:Pkinase;PF00621:RhoGEF;PF22697:SOS1_NGEF_PH
A2ARP1	Ppip5k1	mouse	Kinase	Other	1436	PF00328:His_Phos_2;PF18086:PPIP5K2_N
A2ASS6	Ttn	mouse	Kinase	Other	35213	PF00041:fn3;PF07679:I-set;PF00069:Pkinase;PF02818:PPAK;PF18362:THB;PF09042:Titin_Z
A2CG49	Kalrn	mouse	Kinase	Other	2964	PF13716:CRAL_TRIO_2;PF00041:fn3;PF07679:I-set;PF00069:Pkinase;PF00621:RhoGEF;PF16609:SH3-RhoG_link;PF00018:SH3_1;PF23587:SH3_KALRN;PF22697:SOS1_NGEF_PH;PF00435:Spectrin;PF23323:Spectrin_6
A7MCT6	Etnk2	mouse	Kinase	Other	385	PF01633:Choline_kinase
D3YWQ0	Dgki	mouse	Kinase	Other	1050	PF12796:Ank_2;PF00130:C1_1;PF00609:DAGK_acc;PF00781:DAGK_cat;PF23578:DGKI
D3YXJ0	Dgkh	mouse	Kinase	Other	1211	PF00130:C1_1;PF00609:DAGK_acc;PF00781:DAGK_cat;PF22944:DGKD_4H;PF00169:PH;PF07647:SAM_2
E9PUQ8	Dgkd	mouse	Kinase	Other	1220	PF00130:C1_1;PF00609:DAGK_acc;PF00781:DAGK_cat;PF22944:DGKD_4H;PF00169:PH;PF07647:SAM_2
E9Q3L2	Pi4ka	mouse	Kinase	Other	2105	PF00454:PI3_PI4_kinase;PF00613:PI3Ka;PF19274:PI4K_N
G3UYQ4	Ak9	mouse	Kinase	Other	1894	PF00406:ADK
O08528	Hk2	mouse	Kinase	Other	917	PF00349:Hexokinase_1;PF03727:Hexokinase_2
O08605	Mknk1	mouse	Kinase	Other	427	PF00069:Pkinase
O08648	Map3k4	mouse	Kinase	MAPK	1597	PF19431:MEKK4_N;PF00069:Pkinase
O08796	Eef2k	mouse	Kinase	Other	724	PF02816:Alpha_kinase
O08901	Bub1	mouse	Kinase	Other	1058	PF08311:Mad3_BUB1_I;PF00069:Pkinase
O09110	Map2k3	mouse	Kinase	MAPK	347	PF00069:Pkinase
O09127	Epha8	mouse	Kinase	Other	1004	PF14575:EphA2_TM;PF25599:Ephrin_CRD;PF01404:Ephrin_lbd;PF00041:fn3;PF07714:PK_Tyr_Ser-Thr;PF00536:SAM_1
O35099	Map3k5	mouse	Kinase	MAPK	1380	PF19039:ASK_PH;PF20309:DRHyd-ASK;PF20302:HisK-N-like;PF13281:MAP3K_TRAF_bd;PF00069:Pkinase
O35280	Chek1	mouse	Kinase	Other	476	PF00069:Pkinase
O35491	Clk2	mouse	Kinase	Other	499	PF00069:Pkinase
O35492	Clk3	mouse	Kinase	Other	490	PF00069:Pkinase
O35493	Clk4	mouse	Kinase	Other	481	PF00069:Pkinase
O35495	Cdk14	mouse	Kinase	CDK	469	PF00069:Pkinase
O35607	Bmpr2	mouse	Kinase	Other	1038	PF01064:Activin_recp;PF00069:Pkinase
O35904	Pik3cd	mouse	Kinase	Other	1043	PF00454:PI3_PI4_kinase;PF00792:PI3K_C2;PF02192:PI3K_p85B;PF00794:PI3K_rbd;PF00613:PI3Ka
O35942	Nek2	mouse	Kinase	Other	443	PF00069:Pkinase
O54781	Srpk2	mouse	Kinase	Other	681	PF00069:Pkinase
O54785	Limk2	mouse	Kinase	Other	638	PF00412:LIM;PF00595:PDZ;PF07714:PK_Tyr_Ser-Thr
O54804	Chka	mouse	Kinase	Other	453	PF01633:Choline_kinase
O54863	Tssk2	mouse	Kinase	Other	358	PF00069:Pkinase
O54967	Tnk2	mouse	Kinase	Other	1055	PF09027:GTPase_binding;PF11555:Inhibitor_Mig-6;PF07714:PK_Tyr_Ser-Thr;PF22931:SAM_TNK;PF14604:SH3_9
O54988	Slk	mouse	Kinase	Other	1233	PF00069:Pkinase;PF12474:PKK
O54992	Mapkapk5	mouse	Kinase	MAPK	473	PF00069:Pkinase
O55028	Bckdk	mouse	Kinase	Other	412	PF10436:BCDHK_Adom3;PF02518:HATPase_c
O55047	Tlk2	mouse	Kinase	Other	718	PF00069:Pkinase
O55098	Stk10	mouse	Kinase	Other	966	PF00069:Pkinase;PF12474:PKK
O55229	Chkb	mouse	Kinase	Other	394	PF01633:Choline_kinase
O70126	Aurkb	mouse	Kinase	Aurora	345	PF00069:Pkinase
O70146	Tesk1	mouse	Kinase	Other	627	PF07714:PK_Tyr_Ser-Thr
O70161	Pip5k1c	mouse	Kinase	Other	661	PF01504:PIP5K
O70167	Pik3c2g	mouse	Kinase	Other	1506	PF00168:C2;PF00454:PI3_PI4_kinase;PF00792:PI3K_C2;PF00613:PI3Ka;PF00787:PX
O70172	Pip4k2a	mouse	Kinase	Other	405	PF01504:PIP5K
O70293	Grk6	mouse	Kinase	Other	576	PF00069:Pkinase;PF00615:RGS
O70405	Ulk1	mouse	Kinase	Other	1051	PF12063:ATG1-like_MIT1;PF21127:ATG1-like_MIT2;PF00069:Pkinase
O70551	Srpk1	mouse	Kinase	Other	648	PF00069:Pkinase
O70571	Pdk4	mouse	Kinase	Other	412	PF10436:BCDHK_Adom3;PF02518:HATPase_c
O70589	Cask	mouse	Kinase	Other	926	PF00625:Guanylate_kin;PF02828:L27;PF00595:PDZ;PF00069:Pkinase;PF07653:SH3_2
O88351	Ikbkb	mouse	Kinase	Other	757	PF18397:IKBKB_SDD;PF12179:IKKbetaNEMObind;PF00069:Pkinase
O88428	Papss2	mouse	Kinase	Other	621	PF01583:APS_kinase;PF01747:ATP-sulfurylase;PF14306:PUA_2
O88445	Aurkc	mouse	Kinase	Aurora	276	PF00069:Pkinase
O88643	Pak1	mouse	Kinase	Other	545	PF00786:PBD;PF00069:Pkinase
O88673	Dgka	mouse	Kinase	Other	730	PF00130:C1_1;PF14513:DAG_kinase_N;PF00609:DAGK_acc;PF00781:DAGK_cat;PF13499:EF-hand_7
O88697	Stk16	mouse	Kinase	Other	305	PF00069:Pkinase
P00520	Abl1	mouse	Kinase	Other	1123	PF08919:F_actin_bind;PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
P00536	Mos	mouse	Kinase	Other	343	PF00069:Pkinase
P04184	Tk1	mouse	Kinase	Other	233	PF00265:TK
P04627	Araf	mouse	Kinase	Other	604	PF00130:C1_1;PF07714:PK_Tyr_Ser-Thr;PF02196:RBD
P05132	Prkaca	mouse	Kinase	PKA	351	PF00069:Pkinase
P05480	Src	mouse	Kinase	Other	535	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
P05532	Kit	mouse	Kinase	Other	979	PF00047:ig;PF25305:Ig_PDGFR_d4;PF07714:PK_Tyr_Ser-Thr
P05622	Pdgfrb	mouse	Kinase	Other	1098	PF00047:ig;PF13927:Ig_3;PF25305:Ig_PDGFR_d4;PF07714:PK_Tyr_Ser-Thr
P06240	Lck	mouse	Kinase	Other	509	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
P06803	Pim1	mouse	Kinase	Other	313	PF00069:Pkinase
P07934	Phkg1	mouse	Kinase	Other	388	PF00069:Pkinase
P08103	Hck	mouse	Kinase	Other	524	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
P08414	Camk4	mouse	Kinase	Other	469	PF00069:Pkinase
P08923	Ltk	mouse	Kinase	Other	888	PF12810:ALK_LTK_GRD;PF07714:PK_Tyr_Ser-Thr
P09041	Pgk2	mouse	Kinase	Other	417	PF00162:PGK
P09411	Pgk1	mouse	Kinase	Other	417	PF00162:PGK
P09581	Csf1r	mouse	Kinase	Other	977	PF00047:ig;PF25305:Ig_PDGFR_d4;PF07714:PK_Tyr_Ser-Thr
P0C605	Prkg1	mouse	Kinase	Other	671	PF00027:cNMP_binding;PF16808:PKcGMP_CC;PF00069:Pkinase
P11440	Cdk1	mouse	Kinase	CDK	297	PF00069:Pkinase
P11798	Camk2a	mouse	Kinase	Other	478	PF08332:CaMKII_AD;PF00069:Pkinase
P12382	Pfkl	mouse	Kinase	Other	780	PF00365:PFK
P14234	Fgr	mouse	Kinase	Other	517	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
P15208	Insr	mouse	Kinase	Other	1372	PF00757:Furin-like;PF17870:Insulin_TMD;PF07714:PK_Tyr_Ser-Thr;PF01030:Recep_L_domain
P15209	Ntrk2	mouse	Kinase	Other	821	PF07679:I-set;PF13855:LRR_8;PF16920:LRRCT_2;PF07714:PK_Tyr_Ser-Thr
P15532	Nme1	mouse	Kinase	Other	152	PF00334:NDK
P16054	Prkce	mouse	Kinase	PKC	737	PF00130:C1_1;PF00168:C2;PF00069:Pkinase;PF00433:Pkinase_C
P16056	Met	mouse	Kinase	Other	1379	PF07714:PK_Tyr_Ser-Thr;PF01437:PSI;PF01403:Sema;PF01833:TIG
P16092	Fgfr1	mouse	Kinase	Other	822	PF07679:I-set;PF00047:ig;PF07714:PK_Tyr_Ser-Thr
P16277	Blk	mouse	Kinase	Other	499	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
P16879	Fes	mouse	Kinase	Other	822	PF00611:FCH;PF07714:PK_Tyr_Ser-Thr;PF00017:SH2
P17710	Hk1	mouse	Kinase	Other	974	PF00349:Hexokinase_1;PF03727:Hexokinase_2
P18653	Rps6ka1	mouse	Kinase	Other	724	PF00069:Pkinase;PF00433:Pkinase_C
P18654	Rps6ka3	mouse	Kinase	Other	740	PF00069:Pkinase;PF00433:Pkinase_C
P20444	Prkca	mouse	Kinase	PKC	672	PF00130:C1_1;PF00168:C2;PF00069:Pkinase;PF00433:Pkinase_C
P21803	Fgfr2	mouse	Kinase	Other	821	PF07679:I-set;PF13927:Ig_3;PF07714:PK_Tyr_Ser-Thr
P22518	Clk1	mouse	Kinase	Other	483	PF00069:Pkinase
P23298	Prkch	mouse	Kinase	PKC	683	PF00130:C1_1;PF00168:C2;PF00069:Pkinase;PF00433:Pkinase_C
P24604	Tec	mouse	Kinase	Other	630	PF00779:BTK;PF00169:PH;PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
P24788	Cdk11b	mouse	Kinase	CDK	784	PF00069:Pkinase
P25911	Lyn	mouse	Kinase	Other	512	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
P26618	Pdgfra	mouse	Kinase	Other	1089	PF07679:I-set;PF25305:Ig_PDGFR_d4;PF07714:PK_Tyr_Ser-Thr;PF21339:VEGFR-1-like_Ig-like
P27038	Acvr2a	mouse	Kinase	Other	513	PF01064:Activin_recp;PF00069:Pkinase
P27040	Acvr2b	mouse	Kinase	Other	536	PF01064:Activin_recp;PF00069:Pkinase
P28028	Braf	mouse	Kinase	Other	751	PF00130:C1_1;PF07714:PK_Tyr_Ser-Thr;PF02196:RBD
P28652	Camk2b	mouse	Kinase	Other	542	PF08332:CaMKII_AD;PF00069:Pkinase
P28867	Prkcd	mouse	Kinase	PKC	674	PF00130:C1_1;PF21494:PKC_C2;PF00069:Pkinase;PF00433:Pkinase_C
P29319	Epha3	mouse	Kinase	Other	983	PF14575:EphA2_TM;PF25599:Ephrin_CRD;PF01404:Ephrin_lbd;PF07699:Ephrin_rec_like;PF00041:fn3;PF07714:PK_Tyr_Ser-Thr;PF07647:SAM_2
P30275	Ckmt1	mouse	Kinase	Other	418	PF00217:ATP-gua_Ptrans;PF02807:ATP-gua_PtransN
P30285	Cdk4	mouse	Kinase	CDK	303	PF00069:Pkinase
P31750	Akt1	mouse	Kinase	AKT	480	PF00169:PH;PF00069:Pkinase;PF00433:Pkinase_C
P31938	Map2k1	mouse	Kinase	MAPK	393	PF00069:Pkinase
P34152	Ptk2	mouse	Kinase	Other	1052	PF21477:FERM_C_FAK1;PF00373:FERM_M;PF18038:FERM_N_2;PF03623:Focal_AT;PF07714:PK_Tyr_Ser-Thr
P35546	Ret	mouse	Kinase	Other	1115	PF00028:Cadherin;PF07714:PK_Tyr_Ser-Thr;PF17756:RET_CLD1;PF17812:RET_CLD3;PF17813:RET_CLD4;PF22540:RET_CRD
P35761	Ttk	mouse	Kinase	Other	856	PF00069:Pkinase
P35917	Flt4	mouse	Kinase	Other	1363	PF07679:I-set;PF13927:Ig_3;PF22971:Ig_VEGFR-1-like_5th;PF07714:PK_Tyr_Ser-Thr;PF21339:VEGFR-1-like_Ig-like;PF17988:VEGFR-2_TMD;PF22854:VEGFR1-3_N_Ig-like
P35918	Kdr	mouse	Kinase	Other	1345	PF07679:I-set;PF13927:Ig_3;PF22971:Ig_VEGFR-1-like_5th;PF07714:PK_Tyr_Ser-Thr;PF21339:VEGFR-1-like_Ig-like;PF17988:VEGFR-2_TMD;PF22854:VEGFR1-3_N_Ig-like
P35969	Flt1	mouse	Kinase	Other	1333	PF07679:I-set;PF00047:ig;PF13927:Ig_3;PF22971:Ig_VEGFR-1-like_5th;PF07714:PK_Tyr_Ser-Thr;PF21339:VEGFR-1-like_Ig-like;PF17988:VEGFR-2_TMD;PF22854:VEGFR1-3_N_Ig-like
P36895	Bmpr1a	mouse	Kinase	Other	532	PF01064:Activin_recp;PF07714:PK_Tyr_Ser-Thr;PF08515:TGF_beta_GS
P36898	Bmpr1b	mouse	Kinase	Other	502	PF01064:Activin_recp;PF07714:PK_Tyr_Ser-Thr;PF08515:TGF_beta_GS
P37172	Acvr1	mouse	Kinase	Other	509	PF01064:Activin_recp;PF07714:PK_Tyr_Ser-Thr;PF08515:TGF_beta_GS
P39688	Fyn	mouse	Kinase	Other	537	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
P41241	Csk	mouse	Kinase	Other	450	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
P42337	Pik3ca	mouse	Kinase	Other	1068	PF00454:PI3_PI4_kinase;PF00792:PI3K_C2;PF02192:PI3K_p85B;PF00794:PI3K_rbd;PF00613:PI3Ka
P43346	Dck	mouse	Kinase	Other	260	PF01712:dNK
P43404	Zap70	mouse	Kinase	Other	618	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2
P47809	Map2k4	mouse	Kinase	MAPK	397	PF00069:Pkinase
P47810	Wee1	mouse	Kinase	Other	646	PF00069:Pkinase
P47857	Pfkm	mouse	Kinase	Other	780	PF00365:PFK
P48025	Syk	mouse	Kinase	Other	629	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2
P49025	Cit	mouse	Kinase	Other	2055	PF00780:CNH;PF00169:PH;PF00069:Pkinase;PF00433:Pkinase_C
P49138	Mapkapk2	mouse	Kinase	MAPK	386	PF00069:Pkinase
P49615	Cdk5	mouse	Kinase	CDK	292	PF00069:Pkinase
