accession,protein_name,species,common_name,group,protein_type,db_type,data_source,neurons,genome_mb,cell_types,llphy_score,llphy_category,family,gene_name
Q9VCU9,DCR1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-3.499032273510784,Low,Dicer,
Q9VD44,GLD2A_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.2818565326254198,Medium,Other,
Q9VF14,ENDUB_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.1018142085236958,Medium,Other,
Q9VFF3,EXOSX_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.3232341648710958,Medium,Other,
Q9VHB0,SON_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.5361431140886794,High,Other,
Q9VHP0,DDX3_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,1.952352323259972,High,DEAD-box,
Q9VHS8,IF4A3_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.0052966739536995,Medium,Other,
Q9VIF6,DDX47_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.2280294460383065,Medium,DEAD-box,
Q9VJY9,LOQS_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.6437972872629062,High,Other,
Q9VKM1,PIWI_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-1.011849651899339,Low,Other,
Q9VL63,ARGL1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.6270923293565607,High,Other,
Q9VLP7,MET14_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.23545387177446,Medium,Other,
Q9VN25,EIF3A_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-1.429473599557977,Low,Other,
Q9VPU8,KRR1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.4117839830081072,Medium,Other,
Q9VQZ6,ELP3_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.3677807192880172,Medium,Other,
Q9VR35,MXT_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.4303450473484911,Medium,Other,
Q9VSR3,ORB2_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,1.4326425217292225,High,Other,
Q9VU87,VPS36_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.0930769670503352,Medium,Other,
Q9VUQ5,AGO2_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,1.9226546203153576,High,Argonaute,
Q9VV73,NXF2_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.9747275232185711,Low,Other,
Q9VVK8,DDX52_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.2137238852628306,Medium,DEAD-box,
Q9VXA8,DXO_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.0164333125579298,Medium,Other,
Q9VXE0,RUXG_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.6734949902075205,High,Other,
Q9VYS4,GLD2B_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,1.2340391332871148,High,Other,
Q9VZ49,ENDUA_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.9593353810494328,High,Other,
Q9W0S7,SND1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.8522244985720373,Low,Other,
Q9W123,POF_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.1723462530171547,Medium,Other,
Q9W2H9,PANX_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.424776728046376,Medium,Other,
Q9W4D2,RNP4F_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.0596670512376441,Medium,Other,
Q9W4M9,NSUN2_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.5533913626918563,Low,Other,
O46072,KZ_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-1.2605679140604835,Low,Other,
O61305,DDX19_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.2527021203776369,Medium,DEAD-box,
P12297,SUWA_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.3616691092890707,Medium,Other,
P40796,LA_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.3134103420040725,Medium,Other,
P41094,RS18_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.372805747893301,Medium,Ribosomal-S,
P41374,IF2A_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.2094683816979225,Medium,Other,
P46222,RL11_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.5027331982759884,High,Ribosomal-L,
P55935,RS9_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.3616691092890707,Medium,Ribosomal-S,
Q0E940,EIF3B_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.012721099689853,Medium,Other,
Q24297,RUXF_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.7050487995861731,High,Other,
Q6NL34,TCAB1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.4117839830081072,Medium,Other,
Q7K3M5,DHX15_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.5032764889728197,Low,DHX,
Q7KVQ0,GAR1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,1.7296195511753651,High,Other,
Q86B47,Y8611_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.0652353705397593,Medium,Other,
Q8IH00,NOL6_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-1.949183401088727,Low,Other,
Q8IQA2,TUT_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.3134103420040725,Medium,Other,
Q95T19,SLIMP_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.4253200187432073,Medium,Other,
Q9GU68,IF5A_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.5992507328459847,High,Other,
Q9I7T7,LAR4_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,1.7203390190051733,High,LARP,
Q9V3D6,CPSF2_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.5051325954068582,Low,SFPQ,
Q9V3G3,PPIE_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.7310342896627106,High,Other,
Q9V3U2,NHP2_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.5417114333907946,High,Other,
Q9V4Q8,RU2A_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.3746618543273394,Medium,Other,
Q9VCK0,EI3D1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.4340572602165679,Medium,Other,
Q9VD51,DDX18_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.2818565326254198,Medium,DEAD-box,
Q9VE17,RU1C_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.7625880990413633,High,Other,
Q9VE51,CPSF3_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.6647577487341598,Low,SFPQ,
Q9VH38,TFB2M_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.0015844610856227,Medium,Other,
Q9VIV2,SWM_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.5083015175781036,High,Other,
Q9VJQ4,MCES_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.2335977653404216,Medium,Other,
Q9VK89,TRM1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.0986452863524504,Medium,Other,
Q9VL25,DHX33_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.959878671746264,Low,DHX,
Q9VLV5,RUXE_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.5676969234673321,High,Other,
Q9VNV3,DDX1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.0702603991450432,Medium,DEAD-box,
Q9VPT8,CPSF4_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.5547041784290634,High,SFPQ,
Q9VRJ1,SYAM_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.9450298202739568,Low,Other,
Q9VSK8,ZC3H3_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.3176658455689806,Medium,ZC3H,
Q9VTM5,TFB1M_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.0559548383695674,Medium,Other,
Q9W1V3,FBRL_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,1.2915784327423048,High,Other,
A1Z9A8,PTCD3_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.7779802412105017,Low,Other,
P26802,DDX51_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.3993345286666698,Medium,DEAD-box,
P32100,RL7_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.3950790251017617,Medium,Ribosomal-L,
P41042,RS4_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.3338275127784948,Medium,Ribosomal-S,
Q02926,RB97D_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,1.1820681531340398,High,Other,
Q07886,DDX49_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.1116380313907191,Medium,DEAD-box,
Q0E9B6,RS11_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.6178117971863687,High,Ribosomal-S,
Q7JV70,ARC2_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.4303450473484911,Medium,Other,
Q7JWW5,CTU1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.0999581020896574,Medium,Other,
Q9I7W5,SAS10_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.2762882133233046,Medium,Other,
Q9U3Z7,NH2L1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.5175820497482956,High,Other,
Q9V3G1,RL8_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.4730354953313742,Medium,Ribosomal-L,
Q9V726,CPSF1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-2.019715445582186,Low,SFPQ,
Q9VAQ5,DIM1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.0294260575961986,Medium,Other,
Q9VDM6,EI3G2_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.6957682674159812,High,Other,
Q9VDZ4,NSUN5_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.1357674150332182,Medium,Other,
Q9VGC7,EI3D2_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.4173523023102224,Medium,Other,
Q9VGP0,DTD_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.4544744309909903,Medium,Other,
Q9VHU1,DDX55_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.3195219520030189,Medium,DEAD-box,
Q9VJ62,NAF1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.8461128885730909,High,Other,
Q9VLM8,SYAC_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.6350600457895456,Low,Other,
Q9VRV7,SF3B6_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.5769774556375241,High,Other,
Q9VSH4,CPSF6_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,1.6405264423415225,High,SFPQ,
Q9VSS2,SRP68_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.4587299345558983,Medium,SR,
Q9VU31,EXD1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.0034405675196611,Medium,Other,
Q9VVE5,MSIR6_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.7458831411350177,High,Other,
Q9VXX8,RL371_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.6345167550927142,High,Ribosomal-L,
Q9W1U6,RL372_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.6864877352457892,High,Ribosomal-L,
Q9W3Y5,Y4443_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.3171225548721493,Medium,Other,
Q9W4J5,NEP1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.3004175969658038,Medium,Other,
Q9W4X7,EI3G1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.5881140942417544,High,Other,
Q9W5B6,MTU1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.0461310155025441,Medium,Other,
Q9W5R8,RL5_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.2911370647956118,Medium,Ribosomal-L,
O61345,PENG_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.2322849496032146,Medium,Other,
P49963,SRP19_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.7959980148540543,High,SR,
Q8IQ13,EIF1A_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.7440270347009793,High,Other,
Q9VKB4,RPF1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.3987912379698385,Medium,Other,
Q9VR89,PNO1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.3616691092890707,Medium,Other,
Q9VSC1,SRP09_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.6140995843182919,High,SR,
Q9VWD4,Y4230_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.4340572602165679,Medium,Other,
Q9VZD8,THUM1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.6029629457140616,High,Other,
A0A1W2P872,NOVA2_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,0.1185191664300413,Medium,NOVA,
A2A5N3,PAP1L_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,0.2484466168127288,Medium,PABP,
A2AT37,RENT2_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,-0.6629016423001214,Low,UPF,
A2RSY6,TRM1L_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,-0.3659246128539787,Medium,Other,
B1AQJ2,UBP36_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,0.2484466168127288,Medium,Other,
B1AZI6,THOC2_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,-1.9083490595398824,Low,Other,
B2RR83,YTDC2_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,-1.338524384290096,Low,YTHD,
B2RXZ1,PNDC1_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,-0.3380830163434029,Medium,Other,
C3VD30,ZAR1L_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,0.3913668122336849,Medium,Other,
D3Z4I3,RBM24_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,0.4322011537825295,Medium,RBM,
E9Q5K9,YTDC1_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,0.9333498909728952,High,YTHD,
E9Q9A9,OAS2_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,-0.6109306621470465,Low,Other,
F7BJB9,MORC3_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,-0.2805437168882128,Medium,Other,
O08583,THOC4_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,1.226614707550961,High,ALYREF,
O08715,AKAP1_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,0.192763423791577,Medium,Other,
O08848,RO60_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,-0.362212399985902,Medium,Other,
O35130,NEP1_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,0.3171225548721493,Medium,Other,
O35286,DHX15_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,-0.8039657312870392,Low,DHX,
O35710,NOCT_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,-0.1524723729395637,Medium,Other,
O55055,TRDMT_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,-0.0336815611611067,Medium,Other,
O55112,AFF2_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,0.2725760004552279,Medium,Other,
O70194,EIF3D_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,0.424776728046376,Medium,Other,
O70348,DXO_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,0.3078420227019573,Medium,Other,
O88466,ZN106_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,0.4656110695952206,Medium,Other,
O88477,IF2B1_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,0.0628359734088896,Medium,IGF2BP,
O88569,ROA2_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,1.776022212026325,High,hnRNP,
O89086,RBM3_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,1.183924259568078,High,RBM,
P00375,DYR_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,0.5918263071098312,High,Other,
P09405,NUCL_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,1.7203390190051733,High,Other,
P0C090,RC3H2_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,-0.3269463777391725,Medium,Other,
P11928,OAS1A_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,-0.0151204968207227,Medium,Other,
P14148,RL7_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,0.254014936114844,Medium,Ribosomal-L,
P16330,CN37_MOUSE,mouse,mouse,main,RBP,sp,reviewed,71000000.0,2700,180,0.0869653570513887,Medium,Other,
